"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","POST /todos (201) max out content","chromium","Thu May 08 20:34:57 GMT 2025","passed","Thu May 08 20:34:57 GMT 2025","Challenge","api.spec.js","",""
"","553","POST /secret/note (200)","chromium","Thu May 08 20:35:11 GMT 2025","passed","Thu May 08 20:35:11 GMT 2025","Challenge","api.spec.js","",""
"","1737","Пользователь может опубликовать статью","chromium","Thu May 08 20:35:25 GMT 2025","passed","Thu May 08 20:35:27 GMT 2025","Тесты для realworld","realWords.spec.js","",""
"","589","GET /secret/note (Bearer)","chromium","Thu May 08 20:35:12 GMT 2025","passed","Thu May 08 20:35:13 GMT 2025","Challenge","api.spec.js","",""
"","80","POST /todos XML to JSON","chromium","Thu May 08 20:35:07 GMT 2025","passed","Thu May 08 20:35:07 GMT 2025","Challenge","api.spec.js","",""
"","663","PUT /todos/{id} no title (400)","chromium","Thu May 08 20:35:00 GMT 2025","passed","Thu May 08 20:35:01 GMT 2025","Challenge","api.spec.js","",""
"","282","POST /heartbeat as Trace (501)","chromium","Thu May 08 20:35:09 GMT 2025","passed","Thu May 08 20:35:09 GMT 2025","Challenge","api.spec.js","",""
"","317","POST /todos XML","chromium","Thu May 08 20:35:04 GMT 2025","passed","Thu May 08 20:35:04 GMT 2025","Challenge","api.spec.js","",""
"","279","TRACE /heartbeat (501)","chromium","Thu May 08 20:35:08 GMT 2025","passed","Thu May 08 20:35:08 GMT 2025","Challenge","api.spec.js","",""
"","570","DELETE /todos/{id} (200)","chromium","Thu May 08 20:35:01 GMT 2025","passed","Thu May 08 20:35:02 GMT 2025","Challenge","api.spec.js","",""
"","571","PUT /todos/{id} no amend id (400)","chromium","Thu May 08 20:35:01 GMT 2025","passed","Thu May 08 20:35:01 GMT 2025","Challenge","api.spec.js","",""
"","334","HEAD /todos (200)","chromium","Thu May 08 20:34:55 GMT 2025","passed","Thu May 08 20:34:56 GMT 2025","Challenge","api.spec.js","",""
"","297","GET /challenger/guid (existing X-CHALLENGER)","chromium","Thu May 08 20:35:05 GMT 2025","passed","Thu May 08 20:35:05 GMT 2025","Challenge","api.spec.js","",""
"","299","GET /heartbeat (204)","chromium","Thu May 08 20:35:08 GMT 2025","passed","Thu May 08 20:35:09 GMT 2025","Challenge","api.spec.js","",""
"","286","GET /todos (200) XML","chromium","Thu May 08 20:35:02 GMT 2025","passed","Thu May 08 20:35:02 GMT 2025","Challenge","api.spec.js","",""
"","281","GET /todo (404) not plural","chromium","Thu May 08 20:34:54 GMT 2025","passed","Thu May 08 20:34:54 GMT 2025","Challenge","api.spec.js","",""
"","282","POST /secret/token (401)","chromium","Thu May 08 20:35:09 GMT 2025","passed","Thu May 08 20:35:09 GMT 2025","Challenge","api.spec.js","",""
"","6493","@Bug Перейти на детальную страницу товара в категории ""hot item""","chromium","Thu May 08 20:34:34 GMT 2025","passed","Thu May 08 20:34:40 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","285","GET /todos (200) XML pref","chromium","Thu May 08 20:35:03 GMT 2025","passed","Thu May 08 20:35:03 GMT 2025","Challenge","api.spec.js","",""
"","277","GET /secret/note (403)","chromium","Thu May 08 20:35:10 GMT 2025","passed","Thu May 08 20:35:10 GMT 2025","Challenge","api.spec.js","",""
"","6351","POST /todos (201) all","chromium","Thu May 08 20:35:18 GMT 2025","passed","Thu May 08 20:35:25 GMT 2025","Challenge","api.spec.js","",""
"","300","DELETE /heartbeat (405)","chromium","Thu May 08 20:35:07 GMT 2025","passed","Thu May 08 20:35:08 GMT 2025","Challenge","api.spec.js","",""
"","298","GET /todos/{id} (404)","chromium","Thu May 08 20:34:55 GMT 2025","passed","Thu May 08 20:34:55 GMT 2025","Challenge","api.spec.js","",""
"","5172","DELETE /todos/{id} (200) all","chromium","Thu May 08 20:35:13 GMT 2025","passed","Thu May 08 20:35:18 GMT 2025","Challenge","api.spec.js","",""
"","277","POST /todos/ (400) doneStatus","chromium","Thu May 08 20:34:56 GMT 2025","passed","Thu May 08 20:34:56 GMT 2025","Challenge","api.spec.js","",""
"","1392","Пользователь может изменить пароль","chromium","Thu May 08 20:35:28 GMT 2025","passed","Thu May 08 20:35:30 GMT 2025","Тесты для realworld","realWords.spec.js","",""
"","602","PUT /todos/{id} partial (200)","chromium","Thu May 08 20:35:00 GMT 2025","passed","Thu May 08 20:35:00 GMT 2025","Challenge","api.spec.js","",""
"","5764","@Bug Отфильтровать товары по ценовому диапазону ""$15.00 - $19.99""","chromium","Thu May 08 20:34:47 GMT 2025","passed","Thu May 08 20:34:53 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","598","GET /secret/note (200)","chromium","Thu May 08 20:35:10 GMT 2025","passed","Thu May 08 20:35:11 GMT 2025","Challenge","api.spec.js","",""
"","283","POST /secret/token (201)","chromium","Thu May 08 20:35:09 GMT 2025","passed","Thu May 08 20:35:10 GMT 2025","Challenge","api.spec.js","",""
"","276","GET /todos (200) ANY","chromium","Thu May 08 20:35:03 GMT 2025","passed","Thu May 08 20:35:03 GMT 2025","Challenge","api.spec.js","",""
"","310","POST /secret/note (403)","chromium","Thu May 08 20:35:12 GMT 2025","passed","Thu May 08 20:35:12 GMT 2025","Challenge","api.spec.js","",""
"","287","GET /todos (200) no accept","chromium","Thu May 08 20:35:03 GMT 2025","passed","Thu May 08 20:35:03 GMT 2025","Challenge","api.spec.js","",""
"","284","POST /secret/note (401)","chromium","Thu May 08 20:35:11 GMT 2025","passed","Thu May 08 20:35:12 GMT 2025","Challenge","api.spec.js","",""
"","293","POST /todos (413) content too long","chromium","Thu May 08 20:34:57 GMT 2025","passed","Thu May 08 20:34:58 GMT 2025","Challenge","api.spec.js","",""
"","295","PATCH /heartbeat (500)","chromium","Thu May 08 20:35:08 GMT 2025","passed","Thu May 08 20:35:08 GMT 2025","Challenge","api.spec.js","",""
"","302","GET /challenger/database/guid (200)","chromium","Thu May 08 20:35:06 GMT 2025","passed","Thu May 08 20:35:06 GMT 2025","Challenge","api.spec.js","",""
"","307","POST /todos (400) title too long","chromium","Thu May 08 20:34:56 GMT 2025","passed","Thu May 08 20:34:57 GMT 2025","Challenge","api.spec.js","",""
"","299","POST /todos/{id} (200)","chromium","Thu May 08 20:34:58 GMT 2025","passed","Thu May 08 20:34:59 GMT 2025","Challenge","api.spec.js","",""
"","285","POST /todos JSON to XML","chromium","Thu May 08 20:35:07 GMT 2025","passed","Thu May 08 20:35:07 GMT 2025","Challenge","api.spec.js","",""
"","292","GET /todos (200)","chromium","Thu May 08 20:34:54 GMT 2025","passed","Thu May 08 20:34:54 GMT 2025","Challenge","api.spec.js","",""
"","305","POST /todos JSON","chromium","Thu May 08 20:35:04 GMT 2025","passed","Thu May 08 20:35:04 GMT 2025","Challenge","api.spec.js","",""
"","576","PUT /challenger/guid RESTORE","chromium","Thu May 08 20:35:05 GMT 2025","passed","Thu May 08 20:35:05 GMT 2025","Challenge","api.spec.js","",""
"","2676","@Bug Изменить количество отображаемых товаров на странице","chromium","Thu May 08 20:34:28 GMT 2025","passed","Thu May 08 20:34:31 GMT 2025","Список товаров","academybugs.spec.js","",""
"","271","POST /todos/ (201)","chromium","Thu May 08 20:34:56 GMT 2025","passed","Thu May 08 20:34:56 GMT 2025","Challenge","api.spec.js","",""
"","281","POST /todos (415)","chromium","Thu May 08 20:35:04 GMT 2025","passed","Thu May 08 20:35:05 GMT 2025","Challenge","api.spec.js","",""
"","1880","Пользователь может оставить комментарий к статье","chromium","Thu May 08 20:35:27 GMT 2025","passed","Thu May 08 20:35:28 GMT 2025","Тесты для realworld","realWords.spec.js","",""
"","305","POST /todos (400) extra","chromium","Thu May 08 20:34:58 GMT 2025","passed","Thu May 08 20:34:58 GMT 2025","Challenge","api.spec.js","",""
"","6631","@Bug Перейти на страницу производителя товара","chromium","Thu May 08 20:34:40 GMT 2025","passed","Thu May 08 20:34:47 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","576","POST /todos/{id} (404)","chromium","Thu May 08 20:34:59 GMT 2025","passed","Thu May 08 20:34:59 GMT 2025","Challenge","api.spec.js","",""
"","607","PUT /challenger/guid CREATE","chromium","Thu May 08 20:35:05 GMT 2025","passed","Thu May 08 20:35:06 GMT 2025","Challenge","api.spec.js","",""
"","261","GET /secret/note (401)","chromium","Thu May 08 20:35:10 GMT 2025","passed","Thu May 08 20:35:10 GMT 2025","Challenge","api.spec.js","",""
"","3118","@Bug Изменить отображение цен товаров в евро","chromium","Thu May 08 20:34:31 GMT 2025","passed","Thu May 08 20:34:34 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","294","GET /todos (200) JSON","chromium","Thu May 08 20:35:02 GMT 2025","passed","Thu May 08 20:35:03 GMT 2025","Challenge","api.spec.js","",""
"","284","GET /todos/{id} (200)","chromium","Thu May 08 20:34:54 GMT 2025","passed","Thu May 08 20:34:55 GMT 2025","Challenge","api.spec.js","",""
"","592","POST /secret/note (Bearer)","chromium","Thu May 08 20:35:13 GMT 2025","passed","Thu May 08 20:35:13 GMT 2025","Challenge","api.spec.js","",""
"","591","GET /todos (200) ?filter","chromium","Thu May 08 20:34:55 GMT 2025","passed","Thu May 08 20:34:55 GMT 2025","Challenge","api.spec.js","",""
"","599","PUT /challenger/database/guid (Update)","chromium","Thu May 08 20:35:06 GMT 2025","passed","Thu May 08 20:35:07 GMT 2025","Challenge","api.spec.js","",""
"","307","POST /todos (400) description too long","chromium","Thu May 08 20:34:57 GMT 2025","passed","Thu May 08 20:34:57 GMT 2025","Challenge","api.spec.js","",""
"","395","GET /challenges (200)","chromium","Thu May 08 20:34:53 GMT 2025","passed","Thu May 08 20:34:53 GMT 2025","Challenge","api.spec.js","",""
"","283","POST /heartbeat as PATCH (500)","chromium","Thu May 08 20:35:09 GMT 2025","passed","Thu May 08 20:35:09 GMT 2025","Challenge","api.spec.js","",""
"","292","PUT /todos/{id} full (200)","chromium","Thu May 08 20:34:59 GMT 2025","passed","Thu May 08 20:35:00 GMT 2025","Challenge","api.spec.js","",""
"","304","GET /todos (406)","chromium","Thu May 08 20:35:03 GMT 2025","passed","Thu May 08 20:35:04 GMT 2025","Challenge","api.spec.js","",""
"","86","POST /heartbeat as DELETE (405)","chromium","Thu May 08 20:35:09 GMT 2025","passed","Thu May 08 20:35:09 GMT 2025","Challenge","api.spec.js","",""
"","554","PUT /todos/{id} (400)","chromium","Thu May 08 20:34:58 GMT 2025","passed","Thu May 08 20:34:58 GMT 2025","Challenge","api.spec.js","",""
