"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","POST /todos (413) content too long","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","1246","DELETE /todos/{id} (200) all","chromium","Thu May 08 20:40:21 GMT 2025","passed","Thu May 08 20:40:22 GMT 2025","Challenge","api.spec.js","",""
"","95","POST /todos JSON","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","6999","@Bug Перейти на страницу производителя товара","chromium","Thu May 08 20:39:57 GMT 2025","passed","Thu May 08 20:40:04 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","87","GET /todos (406)","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","169","POST /secret/note (Bearer)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:21 GMT 2025","Challenge","api.spec.js","",""
"","85","POST /heartbeat as PATCH (500)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","88","GET /todos (200) JSON","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","87","GET /todo (404) not plural","chromium","Thu May 08 20:40:11 GMT 2025","passed","Thu May 08 20:40:11 GMT 2025","Challenge","api.spec.js","",""
"","87","GET /todos (200) XML","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","175","GET /secret/note (200)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","8684","@Bug Изменить количество отображаемых товаров на странице","chromium","Thu May 08 20:39:31 GMT 2025","passed","Thu May 08 20:39:39 GMT 2025","Список товаров","academybugs.spec.js","",""
"","91","DELETE /heartbeat (405)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","2029","POST /todos (201) all","chromium","Thu May 08 20:40:22 GMT 2025","passed","Thu May 08 20:40:24 GMT 2025","Challenge","api.spec.js","",""
"","94","POST /todos JSON to XML","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","33","POST /heartbeat as DELETE (405)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","176","GET /secret/note (Bearer)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","117","PUT /todos/{id} full (200)","chromium","Thu May 08 20:40:13 GMT 2025","passed","Thu May 08 20:40:13 GMT 2025","Challenge","api.spec.js","",""
"","87","POST /secret/note (403)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","85","GET /secret/note (403)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","1062","Пользователь может изменить пароль","chromium","Thu May 08 20:40:26 GMT 2025","passed","Thu May 08 20:40:27 GMT 2025","Тесты для realworld","realWords.spec.js","",""
"","1168","Пользователь может опубликовать статью","chromium","Thu May 08 20:40:24 GMT 2025","passed","Thu May 08 20:40:25 GMT 2025","Тесты для realworld","realWords.spec.js","",""
"","95","GET /heartbeat (204)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","220","GET /todos (200) ?filter","chromium","Thu May 08 20:40:11 GMT 2025","passed","Thu May 08 20:40:11 GMT 2025","Challenge","api.spec.js","",""
"","125","GET /todos (200)","chromium","Thu May 08 20:40:11 GMT 2025","passed","Thu May 08 20:40:11 GMT 2025","Challenge","api.spec.js","",""
"","215","PUT /todos/{id} (400)","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:13 GMT 2025","Challenge","api.spec.js","",""
"","89","POST /todos (201) max out content","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","95","POST /todos (415)","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:15 GMT 2025","Challenge","api.spec.js","",""
"","89","GET /todos (200) XML pref","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","118","POST /todos (400) extra","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","86","GET /secret/note (401)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","88","POST /heartbeat as Trace (501)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","175","PUT /challenger/guid RESTORE","chromium","Thu May 08 20:40:15 GMT 2025","passed","Thu May 08 20:40:15 GMT 2025","Challenge","api.spec.js","",""
"","89","POST /todos (400) title too long","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","91","GET /challenger/guid (existing X-CHALLENGER)","chromium","Thu May 08 20:40:15 GMT 2025","passed","Thu May 08 20:40:15 GMT 2025","Challenge","api.spec.js","",""
"","89","GET /todos (200) ANY","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","87","GET /todos (200) no accept","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","88","TRACE /heartbeat (501)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","1210","Пользователь может оставить комментарий к статье","chromium","Thu May 08 20:40:25 GMT 2025","passed","Thu May 08 20:40:26 GMT 2025","Тесты для realworld","realWords.spec.js","",""
"","174","PUT /todos/{id} no title (400)","chromium","Thu May 08 20:40:13 GMT 2025","passed","Thu May 08 20:40:13 GMT 2025","Challenge","api.spec.js","",""
"","94","POST /secret/token (401)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","6607","@Bug Отфильтровать товары по ценовому диапазону ""$15.00 - $19.99""","chromium","Thu May 08 20:40:04 GMT 2025","passed","Thu May 08 20:40:10 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","90","POST /todos/{id} (200)","chromium","Thu May 08 20:40:13 GMT 2025","passed","Thu May 08 20:40:13 GMT 2025","Challenge","api.spec.js","",""
"","181","PUT /challenger/guid CREATE","chromium","Thu May 08 20:40:17 GMT 2025","failed","Thu May 08 20:40:17 GMT 2025","Challenge","api.spec.js","",""
"","89","PATCH /heartbeat (500)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","85","POST /secret/note (401)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","6036","@Bug Изменить отображение цен товаров в евро","chromium","Thu May 08 20:39:43 GMT 2025","passed","Thu May 08 20:39:49 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","111","POST /todos XML","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","91","GET /todos/{id} (404)","chromium","Thu May 08 20:40:11 GMT 2025","passed","Thu May 08 20:40:11 GMT 2025","Challenge","api.spec.js","",""
"","119","HEAD /todos (200)","chromium","Thu May 08 20:40:11 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","170","POST /todos/{id} (404)","chromium","Thu May 08 20:40:13 GMT 2025","passed","Thu May 08 20:40:13 GMT 2025","Challenge","api.spec.js","",""
"","94","POST /todos/ (201)","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","7459","@Bug Перейти на детальную страницу товара в категории ""hot item""","chromium","Thu May 08 20:39:49 GMT 2025","passed","Thu May 08 20:39:57 GMT 2025","Карточка товара","academybugs.spec.js","",""
"","99","GET /challenger/database/guid (200)","chromium","Thu May 08 20:40:18 GMT 2025","passed","Thu May 08 20:40:18 GMT 2025","Challenge","api.spec.js","",""
"","181","PUT /challenger/database/guid (Update)","chromium","Thu May 08 20:40:18 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","177","PUT /todos/{id} partial (200)","chromium","Thu May 08 20:40:13 GMT 2025","passed","Thu May 08 20:40:13 GMT 2025","Challenge","api.spec.js","",""
"","92","POST /todos (400) description too long","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","94","POST /todos/ (400) doneStatus","chromium","Thu May 08 20:40:12 GMT 2025","passed","Thu May 08 20:40:12 GMT 2025","Challenge","api.spec.js","",""
"","31","POST /todos XML to JSON","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:19 GMT 2025","Challenge","api.spec.js","",""
"","173","DELETE /todos/{id} (200)","chromium","Thu May 08 20:40:14 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","172","POST /secret/note (200)","chromium","Thu May 08 20:40:20 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","203","PUT /todos/{id} no amend id (400)","chromium","Thu May 08 20:40:13 GMT 2025","passed","Thu May 08 20:40:14 GMT 2025","Challenge","api.spec.js","",""
"","126","GET /challenges (200)","chromium","Thu May 08 20:40:11 GMT 2025","passed","Thu May 08 20:40:11 GMT 2025","Challenge","api.spec.js","",""
"","99","POST /secret/token (201)","chromium","Thu May 08 20:40:19 GMT 2025","passed","Thu May 08 20:40:20 GMT 2025","Challenge","api.spec.js","",""
"","89","GET /todos/{id} (200)","chromium","Thu May 08 20:40:11 GMT 2025","passed","Thu May 08 20:40:11 GMT 2025","Challenge","api.spec.js","",""
